source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[viral bait]	factor value[fusion orientation]	factor value[expression mode]	factor value[stimulation]	factor value[sample group]
HEK293 NSP8 FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP8_stable_0805_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_0805_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_0805_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	not treated	FB-NSP8_stable_0805
HEK293 NSP8 FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP8_stable_PIC_2906_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_PIC_2906_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_PIC_2906_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	poly(I:C)	FB-NSP8_stable_PIC_2906
HEK293 NSP8 FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP8_stable_PIC_2906_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_PIC_2906_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_PIC_2906_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	poly(I:C)	FB-NSP8_stable_PIC_2906
HEK293 NSP8 FB stable poly(I:C) rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP8_stable_PIC_2906_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_PIC_2906_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_PIC_2906_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	poly(I:C)	FB-NSP8_stable_PIC_2906
HEK293 NSP9 FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP9_stable_2804_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_2804_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_2804_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	not treated	FB-NSP9_stable_2804
HEK293 NSP9 FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP9_stable_2804_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_2804_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_2804_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	not treated	FB-NSP9_stable_2804
HEK293 NSP9 FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP9_stable_2804_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_2804_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_2804_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	not treated	FB-NSP9_stable_2804
HEK293 NSP9 FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP9_stable_PIC_1106_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_PIC_1106_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_PIC_1106_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	poly(I:C)	FB-NSP9_stable_PIC_1106
HEK293 NSP9 FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP9_stable_PIC_1106_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_PIC_1106_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_PIC_1106_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	poly(I:C)	FB-NSP9_stable_PIC_1106
HEK293 NSP9 FB stable poly(I:C) rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP9_stable_PIC_1106_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_PIC_1106_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_PIC_1106_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	poly(I:C)	FB-NSP9_stable_PIC_1106
HEK293 N FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-N_stable_0805_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-N_stable_0805_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-N_stable_0805_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	N	FB	stable	not treated	FB-N_stable_0805
HEK293 N FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-N_stable_0805_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-N_stable_0805_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-N_stable_0805_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	N	FB	stable	not treated	FB-N_stable_0805
HEK293 N FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-N_stable_0805_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-N_stable_0805_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-N_stable_0805_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	N	FB	stable	not treated	FB-N_stable_0805
HEK293 N FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-N_stable_PIC_1106_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-N_stable_PIC_1106_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-N_stable_PIC_1106_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	N	FB	stable	poly(I:C)	FB-N_stable_PIC_1106
HEK293 N FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-N_stable_PIC_1106_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-N_stable_PIC_1106_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-N_stable_PIC_1106_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	N	FB	stable	poly(I:C)	FB-N_stable_PIC_1106
HEK293 N FB stable poly(I:C) rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-N_stable_PIC_1106_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-N_stable_PIC_1106_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-N_stable_PIC_1106_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	N	FB	stable	poly(I:C)	FB-N_stable_PIC_1106
HEK293 ORF3a FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-Orf3a_stable_2404_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-Orf3a_stable_2404_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-Orf3a_stable_2404_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	ORF3a	FB	stable	not treated	FB-Orf3a_stable_2404
HEK293 ORF3a FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-Orf3a_stable_2404_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-Orf3a_stable_2404_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-Orf3a_stable_2404_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	ORF3a	FB	stable	not treated	FB-Orf3a_stable_2404
HEK293 ORF3a FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-Orf3a_stable_2404_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-Orf3a_stable_2404_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-Orf3a_stable_2404_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	ORF3a	FB	stable	not treated	FB-Orf3a_stable_2404
HEK293 ORF3d FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-Orf3d_stable_0305_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-Orf3d_stable_0305_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-Orf3d_stable_0305_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	ORF3d	FB	stable	not treated	FB-Orf3d_stable_0305
HEK293 ORF3d FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-Orf3d_stable_0305_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-Orf3d_stable_0305_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-Orf3d_stable_0305_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	ORF3d	FB	stable	not treated	FB-Orf3d_stable_0305
HEK293 ORF3d FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-Orf3d_stable_0305_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-Orf3d_stable_0305_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-Orf3d_stable_0305_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	ORF3d	FB	stable	not treated	FB-Orf3d_stable_0305
HEK293 S FB stable not treated rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-S_stable_1205_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-S_stable_1205_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-S_stable_1205_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	S	FB	stable	not treated	FB-S_stable_1205
HEK293 S FB stable not treated rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-S_stable_1205_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-S_stable_1205_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-S_stable_1205_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	S	FB	stable	not treated	FB-S_stable_1205
HEK293 S FB stable not treated rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-S_stable_1205_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-S_stable_1205_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-S_stable_1205_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	S	FB	stable	not treated	FB-S_stable_1205
HEK293 S FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-S_stable_PIC_2906_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-S_stable_PIC_2906_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-S_stable_PIC_2906_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	S	FB	stable	poly(I:C)	FB-S_stable_PIC_2906
HEK293 S FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-S_stable_PIC_2906_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-S_stable_PIC_2906_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-S_stable_PIC_2906_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	S	FB	stable	poly(I:C)	FB-S_stable_PIC_2906
HEK293 S FB stable poly(I:C) rep3	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-S_stable_PIC_2906_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-S_stable_PIC_2906_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-S_stable_PIC_2906_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	S	FB	stable	poly(I:C)	FB-S_stable_PIC_2906
HEK293 ORF3a FB stable poly(I:C) rep1	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-orf3a_stable_PIC_1106_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-orf3a_stable_PIC_1106_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-orf3a_stable_PIC_1106_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	ORF3a	FB	stable	poly(I:C)	FB-orf3a_stable_PIC_1106
HEK293 ORF3a FB stable poly(I:C) rep2	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-orf3a_stable_PIC_1106_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-orf3a_stable_PIC_1106_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-orf3a_stable_PIC_1106_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	ORF3a	FB	stable	poly(I:C)	FB-orf3a_stable_PIC_1106
